SampleName	SampleType	Organism	Replicate	SampleGroup	Molecule	ExtractionInformation	PassageNumber	Sex
GroupI_3	Cells	Mouse	3	GroupI	Total RNA	20_Jan	P6	Female
GroupI_4	Cells	Mouse	4	GroupI	Total RNA	20_Jan	P6	Male
GroupI_5	Cells	Mouse	5	GroupI	Total RNA	14_Jan	P6	Female
GroupI_5	Cells	Mouse	6	GroupI	Total RNA	14_Jan	P6	Male
GroupI_6	Cells	Mouse	7	GroupI	Total RNA	20_Jan	P6	Male
GroupI_7	Cells	Mouse	8	GroupI	Total RNA	20_Jan	P6	Male
GroupJ_1	Cells	Mouse	1	GroupJ	Total RNA	14_Jan	P6	Female
GroupJ_2	Cells	Mouse	2	GroupJ	Total RNA	14_Jan	P6	Female
GroupJ_3	Cells	Mouse	3	GroupJ	Total RNA	20_Jan	P6	Male
GroupJ_4	Cells	Mouse	4	GroupJ	Total RNA	20_Jan	P6	Female
GroupJ_5	Cells	Mouse	5	GroupJ	Total RNA	14_Jan	P6	Female
GroupJ_5	Cells	Mouse	6	GroupJ	Total RNA	14_Jan	P6	Female
GroupJ_6	Cells	Mouse	7	GroupJ	Total RNA	20_Jan	P6	Female
GroupJ_7	Cells	Mouse	8	GroupJ	Total RNA	20_Jan	P6	Male
GroupK_1	Cells	Mouse	1	GroupK	Total RNA	14_Jan	P6	Female
GroupK_2	Cells	Mouse	2	GroupK	Total RNA	14_Jan	P6	Female
GroupK_3	Cells	Mouse	3	GroupK	Total RNA	20_Jan	P6	Female
GroupK_4	Cells	Mouse	4	GroupK	Total RNA	20_Jan	P6	Female
GroupK_5	Cells	Mouse	7	GroupK	Total RNA	20_Jan	P6	Female
GroupK_5	Cells	Mouse	8	GroupK	Total RNA	20_Jan	P6	Female
GroupK_7	Cells	Mouse	5	GroupK	Total RNA	14_Jan	P6	Female
GroupK_8	Cells	Mouse	6	GroupK	Total RNA	14_Jan	P6	Male
GroupL_1	Cells	Mouse	1	GroupL	Total RNA	14_Jan	P6	Female
GroupL_2	Cells	Mouse	2	GroupL	Total RNA	14_Jan	P6	Female
GroupL_3	Cells	Mouse	3	GroupL	Total RNA	20_Jan	P6	Male
GroupL_4	Cells	Mouse	4	GroupL	Total RNA	20_Jan	P6	Male
GroupL_5	Cells	Mouse	7	GroupL	Total RNA	20_Jan	P6	Female
GroupL_5	Cells	Mouse	8	GroupL	Total RNA	20_Jan	P6	Male
GroupL_7	Cells	Mouse	5	GroupL	Total RNA	14_Jan	P6	Male
GroupL_8	Cells	Mouse	6	GroupL	Total RNA	14_Jan	P6	Male
